Job Title,Company,Location,Salary,Post Date,Job Link,Type,Description
Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,Kuala Lumpur,"RM 3,500 a month",13 days ago,https://malaysia.indeed.com/company/AkiraKan-(Marine-Technology)-Sdn-Bhd/jobs/Meteorologist-1d734af444538030?fccid=dad36d3ea9a30fd9&vjs=3,Full time,"AkiraKan [ AKN Technologies ] is hiring Meteorologists. We work with the oil and gas industry and agriculture industry to provide weather forecasts for the weather sensitive operations. We also conduct state-of-the-art weather research to improve the weather forecast accuracy and systems.You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation weather forecasting technologies.Responsibilities: As a meteorologist, you will be supporting two main areas; forecasting and research.Involved in producing operational forecasts and reports primarily for the offshore oil and gas industry. Communicating weather risks to the client in their operations.Collecting and analyzing forecast, and observational data to improve weather forecast skills.Communicating weather risks with Persons Outside Organization*Requirements: Degree in physics, physical sciences, computer science, mathematics, environmental science or meteorologyStrong analytical skillsWritten and oral communication skills with persons outside organizationBonus/nice to have: Experience in computer programming languageExperience in weather forecast/validation software*Job Type: Full-timeSalary: From RM3,500.00 per monthSchedule:Monday to Friday"
Data Scientist,Doo Technology MY Sdn. Bhd.,Kuala Lumpur,"RM 6,000 - RM 7,999 a month",6 days ago,https://malaysia.indeed.com/rc/clk?jk=e9d15ef56f089707&fccid=0447500ab5f8dca0&vjs=3,No Detail,"Responsibilities: - Exploratory data analysis to understand the customer journey and customer needs as well as provide actionable insights. - Develop the algorithms and data models to meet the business needs. - Deep-dive analysis using different business intelligence tools and machine learning to identify and solve business issues. - Identify opportunities to optimize, enhance, and improve the systems, products, customer experience, and business strategies. - Collaborate with cross-functional teams including internal and external stakeholders to deliver high-impact insights and results. - Involve in A/B testing and UAT to ensure functional requirements are met. Requirements: - Possess at least Bachelor's Degree in Statistics/Computer Science/Mathematics/Data Science or related field. - At least 4 years of working experience in Statistic/Data Analyst/Business Analyst/Data Scientist or relevant profession. - Sound knowledge of data science, data analytics, data modelling, and machine learning. - Experience in using BI tools. - Experience in programming language such as R, Python, SQL etc. will be preferred.
Doo Group was established in Hong Kong in 2014. After years of development, Doo Group has become a large fintech-motivated financial service group, with multiple sub-brands like Doo Clearing, Doo Financial, Doo Prime, Doo Tech, and more. Doo Group is committed to serving individual and institutional customers around the world with creative trading brokerage services for equities, futures, CFDs and other financial products. Currently, Doo Group operates the financial trading licenses in the United Kingdom, the United States, Mauritius and Vanuatu, with operating centres in Hong Kong, London, Dallas, Singapore, Kuala Lumpur and other places. Doo Tech is a software technology provider serving the financial industry. With millions of dollars in research and development investment every year, we have a set of large-scale financial technology systems with independent intellectual property rights, such as the broker back-office system BrokerForce, the trading system InTrade, social trading system Outrade, Clearing Cloud, a clearing system. Doo Group set the mission as providing customers with secure, reliable, professional and convenient trading services, aiming at becoming a global, leading and fin-tech based financial services group.
Bachelor's or Equivalent"
Data Scientist,Datalabs Asia (M) Sdn Bhd,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",13 days ago,https://malaysia.indeed.com/rc/clk?jk=4b53359d43ff976d&fccid=e198b5a199f648cf&vjs=3,Contract,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data. At least 1 year experiences in Data Engineer / Data Analyst.- Able to write modular, well-tested, and maintainable code- Familiar with skills in: i) Python, Hadoop, Spark, and others ML tools ii) Shell Script, Linux Configuration iii) MySQL, NoSQL - Strong math skills (e.g. statistics, algebra)- Performing large volumes of data preprocessing that involves data transformation as well as data cleaning.- Explore new technologies, analytic solutions and using depths of knowledge statistics and various machine learning tools to forecast and classify patterns in the data. - Increasing the performance and accuracy of machine learning algorithms through fine-tuning and further performance optimization.- Liaising and work closely with coworkers and clients to elucidate the requirements for each task- Understanding the requirements of the company and formulating questions that need to be addressed.- Conduct research for industry and business questions
Who are we.. Located strategically in the heart of Kuala Lumpur, Datalabs with an eye on all the latest technologies, our aim is to consistently offer exclusive information of the highest quality to our customers that requires and expects nothing less. About Us Datalabs was founded in 2017 and has been providing excellent service in the region by tailoring customer-specific IT solutions businesses in Malaysia. Our strengths lie in the continued maintenance and dedicated support of the solutions that we provide to our customers. We believe in building relationships with our customers and in maintaining any product or solution that we put fulfills the role that it was designed for. Our offerings span technology consulting, application services, systems integration, product engineering, custom software development, maintenance, IT infrastructure services and IT outsourcing as well as Database Services. Today, Datalabs is positioning its businesses to be in tandem with Datalabs strategic initiative – transforming and expanding the businesses of capitalizing on its Presence, People, Place and Partners, to ensure long-term growth and sustainability.
Bachelor's or Equivalent"
Data Scientist,BASF Asia Pacific,Kuala Lumpur,No Detail,15 days ago,https://malaysia.indeed.com/rc/clk?jk=3d272182715dbaf6&fccid=38313780e9822361&vjs=3,No Detail,"LOCATION

Kuala Lumpur, MY, 50000

COMPANY

BASF Asia Pacific

JOB FIELD

Digitalization

JOB CONDITIONS

Experienced

JOB ID

EN_MY_40377

We are a leading chemical company, with the best teams developing intelligent solutions for our customers and for a sustainable future. Our success as a company relies on the engagement of our employees. We encourage our employees to develop their strengths, and we recognize their achievements. For you, this means a wide variety of job roles, and exciting opportunities for learning and career development.

Description

Do you want to work with passionate teams, providing excellent business and digital services to the Asia Pacific region?

Do you want an open, supportive, and caring working environment?

Do you view your development needs seriously as we do?

If YES, then take your career to the #NextLevel with BASF !

Objectives of the Position

BASF Shared Services Center Kuala Lumpur, was established in 2005 providing functional services in Finance, Controlling, Information Services, Human Resources, Environment, Health & Safety, Procurement and Import Export Order Management Services to BASF companies in Asia Pacific region. This center is part of BASF Global Business Services (GB) network, with three other sites in Berlin and Ludwigshafen in Germany and in Montevideo, Uruguay, that cover Europe and the Americas.

As GB embarks on a journey of digitalization and innovation, this position aims at supporting the Technology Unit to:

Drive digitalization and innovation to achieve excellence, and optimal systems/tools/processes for service delivery and management of the organization within and beyond GB.
Based on the project or initiative assigned, the role requires leading, influencing and guiding team members in the functions to achieve the desired business results for the assigned project.

Main Tasks

Digitalization / Innovation

Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases into meaningful analytics combining commercial and technical understanding.
Develop custom data models and algorithms to apply to data sets.
Undertake preprocessing of structured and unstructured data.
Build predictive models and machine-learning algorithms.
Able to articulate well in advance analytics, data science related topics and the lifecycle.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.

Leadership

This role will require working collaboratively with multiple functions in the organization within GB and beyond.
Work with or lead functional teams, relevant BASF organization or external vendors to rollout digitalization and innovative solutions, to enhance operational excellence and service quality.

Compliance and Quality Management

Ensure that all activities carried out by the functional teams are in compliance with relevant policies, processes and procedures to achieve excellent and consistent quality of work results.
Ensure that strict adherence to policies, processes and procedures.

Requirements

Education

Minimum qualification of a Bachelor’s degree or higher

Working Experience

Minimum 3 years’ related working experience

Technical & Professional Knowledge

Strong problem-solving skills with an emphasis on data Mining.
Experience using statistical computer languages (R, Python, etc.) to manipulate data and draw insights from large data sets e.g. Data Lake or SQL Database.
Good understanding of AI/ML processes and algorithms like k-means clustering, propensity models, text analytics, predictive models.
Experience on using Cloud services especially Microsoft Azure Cloud.
Excellent business communication, presentation and writing skills in English
Must be able to work with minimal supervision, and able to lead and motivate team members
Must be a team player and able to work with others.
Good to have: Exposure to distributed data/computing tools such as Hadoop, Hive, Spark, etc.

BASF regional service hub has been established since 2005 in Kuala Lumpur. The regional service hub has approximately 700 employees and growing. Focused on being a competency and digitalization driven hub, it also provides quality functional and know-how services in the areas of finance, controlling, human resources, real estate and facilities management, communications, environmental, health and safety, procurement, import-export order management, and information services to BASF companies and affiliates in the Asia Pacific region. BASF also has two other regional hubs located in Berlin, Germany, and Montevideo, Uruguay that cover the Europe and Americas regions.

At BASF, we create chemistry for a sustainable future. We combine economic success with environmental protection and social responsibility. More than 110,000 employees in the BASF Group contribute to the success of our customers in nearly all sectors and almost every country in the world. Our portfolio is organized into six segments: Chemicals, Materials, Industrial Solutions, Surface Technologies, Nutrition & Care and Agricultural Solutions. BASF generated sales of €59 billion in 2020. Further information at www.basf.com."
Geomatics Surveyor (Geographic Information System),AkiraKan (Marine Technology) Sdn Bhd,Kuala Lumpur,"RM 3,500 a month",13 days ago,https://malaysia.indeed.com/company/AkiraKan-(Marine-Technology)-Sdn-Bhd/jobs/Geomatic-Surveyor-68a65bfad29aed19?fccid=dad36d3ea9a30fd9&vjs=3,Full time,"AkiraKan [ AKN Technologies ] is hiring surveyor/GIS Expert/cartographer to join our engineering teams in our Penang/KL office.We are developing a comprehensive HD map to improve transit, land transportation and marine operation. You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping technologies.Responsibilities: Capture, process and publish Lidar and Photogrammetry data using various GIS ToolsUtilize various software packages and information from various sources to extract and create GIS dataEnsure data accuracy, quality & completenessAcquire, georeferenced, digitize and perform QA/QC on datasets according to the provided rulesRequirements: Degree in a discipline such as surveying, geographic information systems, geomatics, hydrography, geography and cartography or engineeringBonus/ nice to have: Computer Programming ExperienceJob Type: Full-timeSalary: From RM3,500.00 per monthSchedule:Monday to Friday"
Data Scientist,Croesus IT Solutions Sdn Bhd,Petaling Jaya,"RM 5,000 - RM 5,999 a month",1 day ago,https://malaysia.indeed.com/rc/clk?jk=48f3b8381ab549d7&fccid=c237954929f91221&vjs=3,Contract,"1. Big data computational statistical analytics, AI, research and development on rotor craft performance. 2. Big data, AI and business intelligence analytics for SAP Business One platform. 3. AI model development for deployment within the Croesus IT Business Intelligence model (BiX) on SAP Business One platform. 4. Develop AI autonomous robotics platforms for remote plantation monitoring and operational management. 5. Develop autonomous AI worker safety and productivity monitoring and management platforms and robotic control.
Established in 2004, Croesus Group of Companies' reputation, combined with our extensive knowledge of SAP and experience, ensure we deliver the best ERP solutions and services to our clients, whose business(es) have benefited with optimal operations and management, leading to improved efficiency, communication across company, cost reduction and increase in revenue margins.
Doctoral (PhD) or Equivalent"
Data Scientist,Etiqa Life Insurance Berhad,Kuala Lumpur,No Detail,14 days ago,https://malaysia.indeed.com/rc/clk?jk=95548e25b2a7a520&fccid=948d536fb19b29d7&vjs=3,No Detail,"At Etiqa we utilise advance analytics to improve business processes. We have deployed models covering claims straight through processing via expert driven modelling, shallow neural network implementation on claims approval that leads to multi million ringgit saving annually, multi class auto routing of emails by textual processing for operational efficiencies, and odometer image reader (deep network, OCR just doesn’t cut it) reducing 60% of operational load. All these are prime for improvements and we have more in the pipeline such as supporting the chatbot vision and predictive underwriting. We want to hire for multiple positions to bring us to the next level. In return we will offer attractive rewards and carve job grade fitting your capabilities. If you are a deep learning practitioner, then we need you to improve our deployed models and initiate research and development on other image recognition business case. We have plenty of ideas and data to make the effort worthwhile for deployment. If you are a machine learning engineer, we always aim for deployment practice improvements over time. Perhaps you can give us a quantum leapt. We like to hear from you! For the NLP practitioner, go to Etiqa website and try our live chat featuring artificial AI (read: human). How can you better this? If you are an analyst doing models or business intelligence, we have a number of backlog ready to kick start on top of current improvements to share around. This is a team sport! If you are a seasoned insurance professional or actuary aiming for a data science breakthrough, we appreciate how crucial domain understanding is. We can carve good projects to bed you in so long you show the inclinations for technical learnings. Or perhaps you’re a type II data scientist. We discover this is an extremely handy role for the team. Write to us, we want people like you! What we usually look for: - Technical capabilities proven by past deployed work or personal portfolios - Completion of relevant MOOCs - Good grades or past work performance - Energetic personalities
Humanizing Insurance & Takaful
Bachelor's or Equivalent"
Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Kuala Lumpur,No Detail,22 days ago,https://malaysia.indeed.com/company/Intrinsik-Technologies-Sdn-Bhd/jobs/Data-Analyst-b109682b20c8f6ba?fccid=f5e2b57782331c81&vjs=3,Full time,"Job role: As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven processes. Your role will involve driving initiatives to optimize for operational excellence and revenue.Responsibilities: Ensure that data flows smoothly from source to destination so that it can be processedUtilize strong database skills to work with large, complex data sets to extract insightsFilter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processesIdentify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructureBuild tools for automating repetitive asks so that bandwidth can be freed for analyticsCollaborate with program managers and business analysts to help them come up with actionable, high-impact insights across product lines and functionsWork closely with top management to prioritize information and analytic needsRequirements: Bachelors or Masters in a quantitative field (such as Engineering, Statistics, Math, Economics, or Computer Science with Modeling/Data Science), preferably with work experience of over 2 years.Ability to program in any high level language is required. Familiarity with R and statistical packages are preferred.Proven problem solving and debugging skills.Familiar with database technologies and tools (SQL/R/SAS/JMP etc.), data warehousing, transformation and processing. Work experience with real data for customer insights, business and market analysis will be advantageous.Experience with text analytics, data mining and social media analytics.Statistical knowledge in standard techniques: Logistic Regression, Classification models, Cluster Analysis, Neural Networks, Random Forests, Ensembles, etc.Job Type: Full-time"
Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,Kuala Lumpur,"RM 6,000 - RM 10,000 a month",2 days ago,https://malaysia.indeed.com/company/J-Recruit-Recruitment-Firm/jobs/Data-Scientist-Machine-Learning-Across-Fmcg-Industry-0416e8ae059fb4e9?fccid=198f4cc772763dfe&vjs=3,Full time,"Company value: We believe bringing our core values to life takes a combination of individual effort & teamwork.*** A Peep into the company background: Outstanding career growth & learning opportunity for you.Nice Dental, optical & medical benefits for you.A long established MNC company with Shanghai & Hong Kong as their main base.You will be helping the machine learning team with: Analyze the ML algorithms that could be used to solve a given problem & rank them by their success probability.Explore & visualizing data to gain an understanding & identifying the differences in data distribution that could affect performance when deploying the model in the real world.Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Defining validation strategies.Defining the pre-processing or feature engineering to be done on a given dataset.Training models & tuning their hyperparameters.Analyzing the errors of the model & designing strategies to overcome the.Deploying models to production.Hands-on algorithm & software development using some combination of Python, JavaScript or others.What we are looking for, do you have those? Strong interest in latest Machine Learning Research.Experienced with Azure, AWS or Google Cloud.Experienced with object detection and/or multi-object tracking.Strong analytical and problem-solving skills.Excellent interpersonal and communication skills.Job Type: Full-timeSalary: RM6,000.00 - RM10,000.00 per monthSchedule:Day shiftCOVID-19 considerations:Consistent and relevant precautionary SOP will be provided to our company employees.Work Remotely:Temporarily due to COVID-19"
Consultant/Senior Consultant - Data Scientist - MY,Deloitte,Kuala Lumpur,No Detail,5 days ago,https://malaysia.indeed.com/rc/clk?jk=9d4796e2908ca32e&fccid=9e215d88a6b33622&vjs=3,No Detail,"Consultant/Senior Consultant - Data Scientist - MY
Date: 29-Oct-2021
Service Line / Portfolios: Strategy, Growth & Innovation
Location:
Kuala Lumpur, MY
Consultant/Senior Consultant - Data Scientist - SEA

At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.

Work you will do

This role sits within the Analytics and Cognitive team of Deloitte Southeast Asia, which encompasses data, analytics and cognitive automation (CA). As a leader of this group, you will drive the growth of our CA business in the region and be responsible for the creation, sale and delivery of CA solutions: robotic process automation, intelligent character recognition, chatbots/virtual assistants and artificial intelligence

The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

You must have strong implementation experience in one or more of the following competencies and enabling technologies:
Designing and developing data integration (including batch/real-time, ETL/ELT) processes with a variety of structured and unstructured data with tools such as Informatica, Talend, Pentaho PDI or AWS Glue.
Applying analytical models to predict business outcomes with tools such as Dataiku, DataRobot or TensorFlow, Keras or pyTorch.
Good understanding of AI/ML processes and algorithms like k-means clustering, propensity models, text analytics, predictive models.

Enough about us, let's talk about you

If you are someone with:
A good honors Degree, preferably at postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics or related disciplines.
Extensive experience in Big 4 or MNC Consulting firm or industry related role.
Minimum of 4 years (C) or 6 years (SC) of relevant experience with solid experience in the sales cycle and in leading project teams
Strong experience directly interfacing with senior business and IT stakeholders for clients.
Strong commitment to professional client service excellence.
Ability to work independently, to work in a fast paced and demanding environment
Strong problem solving and troubleshooting skills with the ability to exercise mature judgment.
You have strong understanding of either structured and unstructured data mining, visualisation and analytics or Intelligent Automation
Drive, tenacity, entrepreneurship, client focused and results oriented. You enjoy working methodically and with a great attention to detail.
Excellent interpersonal relations and demonstrated ability to work with others effectively in teams.
Superior verbal and written communication skills including a proven track record in developing and conducting interviews, focus groups and presentations.
Strong business acumen with the ability to develop and present new ideas and conceptualise new approaches and solutions.

In addition to strong client service orientation, we are also seeking talented leaders who have the capability to deliver quality solutions with superior analytical and problem solving skills. Besides excellent interpersonal and communication skills, candidates should have proven demonstration of sound business acumen, teamwork and leadership qualities. An appreciation of the consulting lifestyle and ability to travel is a pre-requisite.

Next Steps
So what are you waiting for? Join the winning team now.

Due to volume of applications, we regret only shortlisted candidates will be notified.

Requisition ID: 64481
In Malaysia, the services are provided by Deloitte and other related entities in Malaysia (""Deloitte in Malaysia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Malaysia, which is within the Deloitte Network, is the entity that is providing this Website."
Data Scientist,AirAsia,Kuala Lumpur,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=ab6f1c802961254a&fccid=350f4541eb63ccf6&vjs=3,No Detail,"Job Description
Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.
If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.
Mastering collaboration solutions for airline operations, Airline Data Department, a data business unit of Airasia, offers advanced data solutions for Flight Operations, Aircraft Maintenance and Data Infrastructure. The portfolio includes ML models, optimization solutions, data pipelines, professional apps, cloud infrastructures and associated services. We are proud to be one of the innovative teams of Airasia, the best budget airline provider in the world, scheduling domestic and international flights to more than 165 destinations spanning 25 countries. In doing so, we make a significant contribution to transform our airline into a tech-driven company.
Here’s what an ordinary day looks like:
You will Improve models and algorithms to further optimize business outcomes.
As a Data Scientist, you will work across the following areas:
Exploratory analysis: use data to suggest and prove hypotheses
Modeling: built optimization / predictive / statistical models to learn from data and estimate the unknowns.
Data operations: query data, deploy models and automate pipelines in cloud.
You got to have these to carry out the job :
Experience with common data science toolkits, programming languages, visualisation tools and SQL/NoSQL databases.
Good applied statistical knowledge with emphasis in business and finance related statistical distributions, statistical testing, modeling, regression analysis, etc.
Experience with distributed computing platforms and open-source tools and libraries.
Familiar or prone to adopt design thinking methods.
Able to work under pressure and change, and balance among speed, reliability, interpretability.
Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence.
Experience with code versioning, code review and documentation.
The job is ideal for you if you have:
BS/MS/PhD in a Business, IT, Mathematics, Science or Engineering discipline
Up to 4 yrs relevant experience beyond first degree
Experience in one or more of the following specialized areas:
Machine Learning
Understanding of machine learning algorithms such as k-NN, Naive Bayes, SVM, Decision trees.
Experience using ML frameworks such as TensorFlow, PyTorch, or scikit-learn.
Experience using Google Cloud Platform products and services.
Algorithm Engineering
Strong ability to implement, improve, and deploy ML and Math models in Golang or Python.
Conduct systems tests for security, performance, and availability.
Develop and maintain the design and troubleshooting/error documentation.
What makes an Allstar employee? You allow yourself to ‘Dare to Dream’ big dreams and seize the day. You ‘Make things Happen’, you like taking efforts and achieve it. Without any effort, no dream will get fulfilled.
Our companies include Airasia.com, BigPay, Teleport, BigLife, RedBeat Ventures, AirAsia Foundation, Tune Group of Hotels, TuneProtect, OURSHOP, FORM.AT, Airasia Ads
AirAsia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.
We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific."
